fullname,birthCountry
John Richard Andrews,USA
Kim Darrell Andrew,USA
Michael Jay Andrews,USA
Nathan Hardy Andrews,USA
Robert Patrick Andrews,USA
Darrell Shane Andrews,USA
Stanley Joseph Andrews,USA
William Walter Andrews,USA
Matthew Lee Andriese,USA
William Morgan Andrus,USA
Elvis Augusto Andrus,Venezuela
Frederick Hotham Andrus,USA
William Wiman Andrus,CAN
Joaquin Andujar,D.R.
Luis Andujar,D.R.
Norman Stanley Angelini,USA
Matthew Ryan Angle,USA
Thomas Samuel Angley,USA
Frederick Norman Ankenman,USA
Richard Alexander Ankiel,USA
Dean William Anna,USA
William Perley Annis,USA
Adrian Constantine Anson,USA
Eric Todd Anthony,USA
Dustin Kamakana Mai Ku'u Makualani Antolin,USA
Joseph Antolick,USA
William James Antonello,USA
John Lawrence Antonelli,USA
John August Antonelli,USA
Matthew Antonio Antonelli,USA
Norichika Aoki,Japan
Luis Ernesto Aparicio,Venezuela
Robert John Apodaca,USA
Luis Eduardo Aponte,Venezuela
Robert Kevin Appier,USA
Edward Samuel Appleton,USA
Frederick Romaine Applegate,USA
Peter William Appleton,USA
Lucius Benjamin Appling,USA
Gregori Emilio Aquino,D.R.
Jayson Julio Aquino,D.R.
Luis Antonio Aquino,P.R.
Angel Aragon,Cuba
Angel Valdes Aragon,Cuba
Elvis Alejandro Araujo,Venezuela
Maurice John Archdeacon,USA
Christopher Alan Archer,USA
Frederick Marvin Archer,USA
James Patrick Archer,Ireland
James William Archer,USA
George Albert Archie,USA
Jose Raimundo Arcia,Cuba
Orlando Jesus Arcia,Venezuela
Oswaldo Celestino Arcia,Venezuela
Daniel Miers Ardell,USA
Rinaldo Joseph Ardizoia,Italy
Joseph A. Ardner,USA
Daniel Wayne Ardoin,USA
Frank Julian Arellanes,USA
Nolan James Arenado,USA
Jonathan Paul Arencibia,USA
Henry Irven Arft,USA
Alejandro Arias,USA
Alberto A. Arias,D.R.
George Alberto Arias,USA
Joaquin Arias,D.R.
Rodolfo Arias,Cuba
Russell Loris Arlett,USA
Donald Louis Arlich,USA
Stephen Ralph Arlin,USA
Marcos Rafael Armas,Venezuela
Antonio Rafael Armas,Venezuela
Antonio Jose Armas,Venezuela
Charles Anthony Armbruster,USA
Edison Rosanda Armbrister,Bahamas
Harry Gregory Armbruster,USA
Orville Martin Armbrust,USA
William Reginald Armour,USA
Robert Armstrong,USA
Noble George Armstrong,USA
Howard Elmer Armstrong,USA
Jack William Armstrong,USA
Michael Dennis Armstrong,USA
Shawn Michael Armstrong,USA
Harry John Arndt,USA
Larry Wayne Arndt,USA
Willis S. Arnold,USA
Christopher Paul Arnold,USA
James Lee Arnold,USA
Scott Gentry Arnold,USA
Tony Dale Arnold,USA
Morris Arnovich,USA
Bradley James Arnsberg,USA
Orie Edgar Arntzen,USA
Rene Arocha,Cuba
Jonathan Arturo Aro,D.R.
Jose Juan Arredondo,D.R.
Jacob Joseph Arrieta,USA
Gerald William Arrigo,USA
Luis Rolando Arrojo,Cuba
Bronson Anthony Arroyo,USA
Fernando Arroyo,USA
Luis Enrique Arroyo,P.R.
Rudolph Arroyo,USA
Barbaro Erisbel Arruebarrena,Cuba
Harry Arundel,USA
John Thomas Arundel,USA
Randall Carl Asadoor,USA
James Marion Asbell,USA
Robert Anthony Asbjornson,USA
Jose Eleazar Ascanio,Venezuela
Cody James Asche,USA
Miguel Asencio,D.R.
Don Richard Ashburn,USA
Alan Dean Ashby,USA
Andrew Jason Ashby,USA
Alec Edward Asher,USA
Thomas Steven Ashford,USA
Kenneth Lowther Ash,USA
Billy Manual Ashley,USA
Nevin Robert Ashley,USA
Thomas William Asmussen,USA
Robert Thomas Aspromonte,USA
Kenneth Joseph Aspromonte,USA
Brian Hanly Asselstine,USA
Paul Andre Assenmacher,USA
Ezequiel F. Astacio,D.R.
Pedro Julio Astacio,D.R.
Joseph Henry Astroth,USA
Carlos A. Asuaje,Venezuela
Scott Barham Atchison,USA
Justin Scott Atchley,USA
Charles Morgan Herbert Atherton,USA
Keith Rowe Atherton,USA
Luis A. Atilano,P.R.
Albert Wright Atkinson,USA
William Cecil Glenn Atkinson,CAN
Edward Atkinson,USA
Garrett Bernard Atkins,USA
James Curtis Atkins,USA
Hubert Burley Atkinson,USA
Mitchell Shane Atkins,USA
Francis Montgomery Atkins,USA
Richard Gilbert Attreau,USA
Maurice Dailey Atwell,USA
William Franklin Atwood,USA
Jacob Henry Atz,USA
Harry Herbert Aubrey,USA
Robert Michael Aubrey,USA
Derek Alfred Aucoin,CAN
Richard Thomas Aude,USA
Frederick Steven Auerbach,USA
Bryan Christopher Augenstein,USA
David Ralph Augustine,USA
Donald Glenn August,USA
Gerald Lee Augustine,USA
Elden LeRoy Auker,USA
Leycester Doyle Aulds,USA
Douglas Reagan Ault,USA
Phillippe Aumont,CAN
Richard Santo Aurilia,USA
Joseph John Ausanio,USA
Bradley David Ausmus,USA
Dennis Kay Aust,USA
Henry C. Austin,USA
Jeffrey Wellington Austin,USA
James Philip Austin,United Kingdom
James Parker Austin,USA
Rick Gerald Austin,USA
Christopher Tyler Austin,USA
Albert Autry,USA
William Askew Autry,USA
Martin Gordon Autry,USA
David Bruce Aven,USA
Howard Earl Averill,USA
Earl Douglas Averill,USA
Steven Thomas Avery,USA
Xavier Tyrone Avery,USA
Alexander Thomas Avila,USA
Roberto Francisco Avila,Mexico
Luis Armando Avilan,Venezuela
Michael Anthony Aviles,USA
Ramon Antonio Aviles,P.R.
James Epherium Avrea,USA
Dylan Davis Haines Axelrod,USA
John Berton Axford,CAN
Benigno Ayala,P.R.
Robert Joseph Ayala,USA
Luis Ignacio Ayala,Mexico
Erick Johan Aybar,D.R.
Manuel Antonio Aybar,D.R.
Willy Del Jesus Aybar,D.R.
Jacob Stuart Aydelott,USA
William Oscar Ayers,USA
Yancey Wyatt Ayers,USA
Richard John Aylward,USA
Robert Cunningham Ayrault,USA
Joseph Allen Ayrault,USA
Jose Joaquin Azcue,Cuba
Oscar Gregorio Azocar,Venezuela
Charles Amos Babb,USA
Robert Ernest Babcock,USA
Loren Rolland Babe,USA
John Charles Babich,USA
Charles Percy Babington,USA
Mack Neal Babitt,USA
Brandon Allen Backe,USA
Lester John Backman,USA
Walter Wayne Backman,USA
Edgar Suter Bacon,USA
Michael James Bacsik,USA
Michael Joseph Bacsik,USA
Frederic John Baczewski,USA
Burke Heinrich Badenhop,USA
Arthur Herman Bader,USA
Lore Verne Bader,USA
Morris Hiram Badgro,USA
Edward Joseph Baecht,USA
Cha-Seung Baek,South Korea
Carlos Obed Baerga,P.R.
Benito Baez,D.R.
Danys G. Baez,Cuba
Ednel Javier Baez,P.R.
Jose Antonio Baez,D.R.
Kevin Richard Baez,USA
Pedro Alberys Baez,D.R.
James Charles Jacob Bagby,USA
James Charles Jacob Bagby,USA
William Mallory Bagwell,USA
Jeffrey Robert Bagwell,USA
Stanley Raymond Bahnsen,USA
Edson Garfield Bahr,CAN
Franklin F. Bahret,USA
Grover Cleveland Baichley,USA
Andrew Scott Bailey,USA
William F. Bailey,USA
Harry Lewis Bailey,USA
Robert Sherwood Bailey,USA
Philip Cory Bailey,USA
Lonas Edgar Bailey,USA
Frederick Middleton Bailey,USA
Arthur Eugene Bailey,USA
Harvey Francis Bailey,USA
Howard Lee Bailey,USA
David Dewitt Bailey,USA
Jeffrey Todd Bailey,USA
James Hopkins Bailey,USA
Linwood Clifton Bailey,USA
John Mark Bailey,USA
Charles Roger Bailey,USA
Scott Alan Bailes,USA
Steven John Bailey,USA
Abraham Lincoln Bailey,USA
Robert Michael Bailor,USA
Harold Douglas Baines,USA
Herbert Loren Bain,USA
Albert Wells Baird,USA
Robert Allen Baird,USA
Howard Douglas Baird,USA
Charles Douglas Bair,USA
Jeffrey Scot Baisley,USA
Jeffrey Michael Bajenaru,USA
Edward Enoch Bakley,USA
David Lee Bakenhaster,USA
Albert Jones Baker,USA
William Presley Baker,USA
Charles Baker,USA
Charles Arthur Baker,USA
Charles Joseph Baker,USA
David Glenn Baker,USA
Delmer David Baker,USA
Douglas Lee Baker,USA
Johnnie B. Baker,USA
Earnest Gould Baker,USA
Floyd Wilton Baker,USA
John Franklin Baker,USA
Frank Baker,USA
Frank Watts Baker,USA
George F. Baker,USA
Eugene Walter Baker,USA
Howard Francis Baker,USA
Jack Edward Baker,USA
Jesse Ormond Baker,USA
Jesse Baker,USA
Jeffrey Glen Baker,Germany
John David Baker,USA
Kirtley Baker,USA
Neal Vernon Baker,USA
Norman Leslie Baker,USA
Philip Baker,USA
Scott Baker,USA
Timothy Scott Baker,USA
Steven Byrne Baker,USA
Thomas Calvin Baker,USA
Thomas Henry Baker,USA
Trace Lee Baker,USA
Gabor Paul Bako,USA
Mitchell Francis Balas,USA
John Lawrence Balaz,CAN
Stephen Charles Balboni,USA
Robert Rudolph Balcena,USA
Rocco Dan Baldelli,USA
Jack Edward Baldschun,USA
Robert Harvey Baldwin,USA
David George Baldwin,USA
Frank DeWitt Baldwin,USA
Howard Edward Baldwin,USA
Henry Clay Baldwin,USA
James Baldwin,USA
Jeffrey Allen Baldwin,USA
Clarence Geoghan Baldwin,USA
Charles B. Baldwin,USA
Marcus Elmore Baldwin,USA
Orson Frederick Baldwin,USA
Reginald Conrad Baldwin,USA
Rickey Alan Baldwin,USA
John Robert Bale,USA
Michael Richard Balenti,USA
Wladimir Ramon Balentien,Curacao
Collin Thomas Balester,USA
Wesley Owen Bales,USA
Grant Robert Balfour,Australia
Jeffrey Scott Ballard,USA
Arthur Ball,USA
Jay Scott Baller,USA
Pelham Ashby Ballenger,USA
Mark Alan Ballinger,USA
Jeffery D. Ball,USA
James Chandler Ball,USA
Cornelius Ball,USA
Noble Winfred Ballou,USA
Anthony Fred Balsamo,USA
George Irvin Bamberger,USA
Harold Earl Bamberger,USA
John V. Bancker,USA
David James Bancroft,USA
Frank Carter Bancroft,USA
Christopher Michael Bando,USA
Salvatore Leonard Bando,USA
Jett Adam Bandy,USA
Edward Norman Bane,USA
Richard Lee Baney,USA
Jeffery Todd Banister,USA
Daniel Robert Bankhead,USA
Michael Scott Bankhead,USA
William John Yerrick,USA
Brian Glen Banks,USA
Ernest Banks,USA
Wilborn Everett Bankston,USA
George Edward Banks,USA
Joshua Charles Banks,USA
Wesley Wade Bankston,USA
Willie Anthony Banks,USA
Alan Bannister,USA
Brian Patrick Bannister,USA
Floyd Franklin Bannister,USA
James M. Banning,USA
James Henry Bannon,USA
Thomas Edward Bannon,USA
Jackie Kay Banta,USA
Brandon Bantz,USA
Manuel Banuelos,Mexico
Travis Steven Baptist,USA
Rodrigo Richard Barajas,USA
John Edward Barbato,USA
Donald Odell Barbary,USA
Walter Lawrence Barbare,USA
Bret Edward Barberie,USA
Brian Scott Barber,USA
Charles D. Barber,USA
David Monroe Barbee,USA
Frank Frederick Barberich,USA
William Joseph Barbeau,USA
Stephen David Barber,USA
Steven Lee Barber,USA
Tyrus Turner Barber,USA
James Patrick Barbieri,USA
Lorenzo Antonio Barcelo,D.R.
Curtis Cordell Barclay,USA
George Oliver Barclay,USA
Daniel Paul Bard,USA
Brian David Barden,USA
Joshua David Bard,USA
Raymond Douglas Bare,USA
Jesse Lee Barfield,USA
John David Barfield,USA
Joshua LaRoy Barfield,Venezuela
Clyde Raymond Barfoot,USA
Greg Robert Bargar,USA
Eros Bolivar Barger,USA
Brian Stuart Bark,USA
Alfred L. Barker,USA
Andrew Jon Barkett,USA
Glen F. Barker,USA
Kevin Stewart Barker,USA
Leonard Harold Barker,USA
Raymond Herrell Barker,USA
Richard Frank Barker,USA
Sean Reed Barker,USA
Brian Edward Barkley,USA
Jeffrey Carver Barkley,USA
John Duncan Barkley,USA
Samuel W. Barkley,USA
Albert Joseph Barlick,USA
Michael Roswell Barlow,USA
Thomas H. Barlow,USA
Bruce Raymond Barmes,USA
Clint Harold Barmes,USA
Herbert Paul Barna,USA
Charles Edward Barnabe,USA
Austin Scott Barnes,USA
William Horace Barnes,USA
Robert Avery Barnes,USA
Brian Keith Barnes,USA
Brandon Michael Barnes,USA
Darwin James Kunane Barney,USA
Daniel J. Barnes,USA
Edmund J. Barney,USA
Everett Duane Barnes,USA
Frank Samuel Barnes,USA
Frank Barnes,USA
John Francis Barnes,USA
Jacob Andrew Barnes,USA
Jesse Lawrence Barnes,USA
John Delbert Barnes,USA
Junie Shoaf Barnes,USA
Larry Richard Barnes,USA
Luther Owens Barnes,USA
Matthew D. Barnes,USA
Emile Deering Barnes,USA
Rex Edward Barney,USA
Richard Monroe Barnes,USA
Charles Roscoe Barnes,USA
Samuel Thomas Barnes,USA
Scott Michael Barnes,USA
William Henry Barnes,USA
Anthony Lee Barnette,USA
Virgil Jennings Barnes,USA
Clyde Lee Barnhart,USA
Edgar Vernon Barnhart,USA
Leslie Earl Barnhart,USA
Tucker Jackson Barnhart,USA
Victor Dee Barnhart,USA
William Harrison Barnie,USA
George Bernard Barnicle,USA
Edward Anthony Barnowski,USA
Christopher Edward Barnwell,USA
Salome Barojas,Mexico
Daniel Edward Barone,USA
Richard Anthony Barone,USA
Steven Phillip Baron,USA
Facundo Anthony Barragan,USA
German Barranca,Mexico
Kyle David Barraclough,USA
Robert McClelland Barr,USA
Robert Alexander Barr,USA
John Barrett,USA
Aaron James Barrett,USA
William Barrett,USA
William Joseph Barrett,USA
Robert Schley Barrett,USA
Tracy Souter Barrett,USA
Francis Joseph Barrett,USA
Jake Dalton Barrett,USA
James Erigena Barrett,USA
John Joseph Barrett,USA
Martin F. Barrett,USA
Martin Glenn Barrett,USA
Michael Patrick Barrett,USA
Charles Henry Barrett,USA
Timothy Wayne Barrett,USA
Thomas Loren Barrett,USA
Francisco Javier Barrios,Mexico
Jose Manuel Barrios,USA
Manuel Antonio Barrios,Panama
Yhonathan Barrios,Colombia
James Leland Barr,USA
Roland Barrows,USA
Edward Grant Barrow,USA
Franklin Lee Barrows,USA
Frank John Barron,USA
David Irenus Barron,USA
Anthony Dirk Barron,USA
Hyder Edward Barr,USA
Steven Charles Barr,USA
Edward Barry,USA
Hardin Barry,USA
John Joseph Barry,USA
Jeffrey Finas Barry,USA
Kevin Thomas Barry,USA
Richard Donovan Barry,USA
John C. Barry,USA
Thomas Arthur Barry,USA
Richard William Bartell,USA
Kimera Anotchi Bartee,USA
Robert Edward Barthelson,USA
James Richard Barthmaier,USA
John Francis Barthold,USA
Lester Justin Bartholomew,USA
Anthony Joseph Bartirome,USA
William Jackson Bartley,USA
Boyd Owen Bartley,USA
Henry Irving Bartling,USA
Jason Alan Bartlett,USA
Robert Wilbur Barton,USA
Brian Deon Barton,USA
Clifford Paul Bartosh,USA
David Robert Bartosch,USA
Daric William Barton,USA
Harry Lamb Barton,USA
Shawn Edward Barton,USA
Vincent David Barton,CAN
Charles Franklin Bartson,USA
Philip Joseph Barzilla,USA
Christopher Joseph Basak,USA
Romanus Basgall,USA
Albert C. Bashang,USA
Walter Franklin Bashore,USA
Edwin Frank Basinski,USA
James Blaine Baskette,USA
Anthony Edward Bass,USA
Brian Michael Bass,USA
Richard William Bass,USA
William Capers Bass,USA
Charles Edwin Bassett,USA
Christopher M. Bassitt,USA
John Elias Bass,USA
Kevin Charles Bass,USA
John Landis Bassler,USA
Norman Delaney Bass,USA
Randy William Bass,USA
Antonio Francisco Bastardo,D.R.
Charles A. Bastian,USA
Emil Batch,USA
Joseph Edward Batchelder,USA
Richard Anthony Batchelor,USA
